Aquatic Life,Avg Viz,Bottom Comp,Contact,Entry Type,Fall,Location,Max Depth,Rating,Spring,Summer,Winter
Might See Something,13,Rock,,Shore,," Lillington, NC 27546",55.5,2.89 by 9,,,
Might See Something,,Sand,,Boat,," 6+ miles east of, Sandy Hook, NJ",65.5,,,,
Plenty To See,55.5,Sand,,Boat,," N 24° 27.500’ W 081° 50.440’, Key West, FL",33,3.87 by 15,,,
Plenty To See,,Sand,,Boat,," N 24° 27.210’W 081° 51.600’, Key West, FL",33,4.09 by 11,,,
Plenty To See,45.5,Sand,,Boat,83," N 25° 00.579’W 080° 22.471’, Key Largo, FL",33,3.94 by 16,73,78,73
Plenty To See,95.5,Sand,,Boat,," N 25° 00.579’W 080° 22.471’, Key Largo, FL",38,4.14 by 29,,83,68
Plenty To See,85.5,Sand,,Boat,," N 25° 00.579’W 080° 22.471’, Key Largo, FL",45.5,4.50 by 14,,,
Plenty To See,28,Sand,,Boat,52.5," Lundy Island, Bristol Channel, United Kingdom",125.5,4.50 by 2,52.5,58,50
Plenty To See,23,Sand,,Shore,58," Wales, Anglesey, United Kingdom",45.5,,58,63,52.5
Plenty To See,45.5,Sand,,Boat,73," Pensacola, FL",75.5,4.00 by 7,68,78,68
Plenty To See,45.5,Sand,,Boat,63," Pensacola, FL",85.5,4.50 by 4,68,73,63
Plenty To See,23,Sand,,Shore,73," 41 Fort Pickens Rd, Pensacola, FL 32561",23,4.17 by 6,73,78,68
Plenty To See,95.5,Sand,2392816692,Boat,83," Old Providence Island, Colombia",95.5,4.00 by 1,83,83,83
Plenty To See,23,Sand,,Shore,73," Pensacola, FL",45.5,3.76 by 33,73,78,68
Plenty To See,95.5,Sand,,Boat,," Old Providence Island, Colombia",145.5,,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",150,4.50 by 2,,,83
Plenty To See,95.5,,2392816692,Boat,," Old Providence Island, Colombia",95.5,,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",65.5,,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," OldProvidence Island, Colombia",150,4.25 by 4,,,78
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",115.5,,,,
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",150,3.50 by 2,,,
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",150,4.00 by 1,,,78
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",150,4.00 by 1,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",115.5,4.00 by 2,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",135.5,,,,83
Might See Something,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",45.5,,,,83
Plenty To See,85.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",38,4.00 by 2,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",135.5,4.00 by 1,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",23,4.00 by 2,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",125.5,,,,83
Plenty To See,95.5,,2392816692,Boat,," Old Providence Island, Colombia",65.5,4.00 by 1,,,83
Plenty To See,95.5,Sand,2392816692,Boat,," Old Providence Island, Colombia",45.5,,,,83
Might See Something,28,Sand,,Boat,," clayton/Alexanderia Bay, NY",115.5,3.79 by 14,,63,
Plenty To See,75.5,Sand,,Boat,," N 24° 36.970’W 081° 58.910’, Key West, FL",38,4.43 by 7,,,
Plenty To See,85.5,Sand,,Boat,," N 24° 27.330’W 081° 43.420’, Key West, FL",85.5,4.00 by 2,,,
Plenty To See,85.5,Sand,,Boat,," N 24° 28.750’W 081° 42.980’, Key West, FL",75.5,3.50 by 2,,,
Plenty To See,65.5,Sand,,Boat,," N 24° 28.800’W 082° 07.950’, Key West, FL",65.5,4.29 by 7,,,
Plenty To See,95.5,Sand,,Boat,," N 24° 27.190’W 081° 52.580’, Key West, FL",75.5,4.12 by 17,,,
Plenty To See,28,Sand,,Boat,," N 24° 43.100’W 081° 55.050’, Key West, FL",38,,,,
Plenty To See,105.5,Sand,,Boat,," N 24° 26.400’W 081° 52.670’, Key West, FL",125.5,3.00 by 1,,,
Big Animals,135.5,Sand,,Boat,," N 24° 25.970’W 081° 57.020’, Key West, FL",115.5,3.50 by 4,,,
Plenty To See,95.5,Sand,,Boat,," N 24° 29.300’W 081° 40.400’, Key West, FL",38,3.60 by 10,,,73
Plenty To See,75.5,Sand,,Boat,," N 24° 28.430’W 081° 42.970’, Key West, FL",23,4.31 by 16,,,
Big Animals,55.5,Sand,,Boat,," N 24° 26.212’W 081° 46.127’, Key West, FL",150,4.33 by 3,,,
Big Animals,115.5,Sand,,Boat,," N 24° 28.466’W 081° 33.000’, Key West, FL",150,3.00 by 1,,,
Might See Something,7.5,Clay/Muck,7138703049,Shore,78," 4900 Schurmier, Houston, TX 77048",45.5,3.07 by 29,73,83,68
,,Sand,,Boat,, NY,150,,,,
Plenty To See,,Sand,,Boat,," Asbury Park, NJ",105.5,3.00 by 1,,,
Plenty To See,,Sand,,Boat,, NJ,125.5,,,,
Plenty To See,,Sand,,Boat,," East of, Long Branch, NJ",150,,,,
,,,,Boat,, NJ,150,,,,
Plenty To See,38,Sand,,Shore,68," Navarre, FL 32566",28,3.00 by 6,78,83,68
Might See Something,23,Sand,,Shore,73," Orange Beach, AL",23,3.18 by 11,73,78,68
Plenty To See,,Sand,,Boat,, NJ,125.5,4.00 by 1,,,
Might See Something,7.5,Sand,,Shore,68," 400 feet offshore, Spring Lake, NJ",28,,58,73,50
Plenty To See,,Sand,,Boat,," East of, Spring Lake, NJ",150,,,,
,,,,Boat,," 800 feet off, Manasquan Inlet, NJ",28,,,,
Might See Something,7.5,Sand,,Shore,68," East St. & Lyman Ave., Mantoloking, NJ",23,,63,73,50
,,,,Boat,," East of, Mantoloking, NJ",150,,,,
Might See Something,18,Sand,,Boat,," 11 miles off Barnegat, NJ",95.5,4.75 by 4,,52.5,
Plenty To See,,Sand,,Boat,," 5 miles east of, Seaside Heights, NJ",65.5,3.50 by 2,,,
Might See Something,13,Sand,,Boat,68," 1/2 mille off, Barnegat Inlet, NJ",38,3.50 by 2,58,68,50
,,,,Boat,," East of, Harvey Cedars, NJ",75.5,3.00 by 4,,,
Might See Something,18,,,Boat,63," Northeast of, Barnegat Light, NJ",75.5,,58,68,50
Plenty To See,,Sand,,Boat,," 5 miles SE of, Barnegat Light, NJ",65.5,4.00 by 6,,,
,,,,Boat,," East of, Beach Haven, NJ",65.5,3.00 by 1,,,
Plenty To See,,Sand,,Boat,," offshore, Atlantic City, NJ",55.5,,,,
Plenty To See,,Sand,,Boat,," East of Absecon/Brigantine and, Atlantic City, NJ",75.5,3.62 by 8,,,
,,Sand,,Boat,, NJ,85.5,3.00 by 1,,,
Plenty To See,23,Sand,,Boat,," East of, Ocean City, NJ",75.5,3.00 by 1,,73,50
Big Animals,55.5,Sand,,Boat,," Morehead City, NC",105.5,4.30 by 37,,,
Plenty To See,,Sand,,Boat,," Off Squan, NJ",75.5,4.00 by 2,,,
Might See Something,,Sand,,Boat,, NJ,145.5,,,,
Might See Something,,Sand,,Boat,63," Sandy Hook, NJ",65.5,,52.5,68,50
Plenty To See,,Sand,,Boat,," East of, Sandy Hook, NJ",75.5,3.50 by 2,,,
Might See Something,,Sand,,Boat,," East of, Rumson, NJ",55.5,,,,
Plenty To See,7.5,Sand,,Shore,68," 1000’ N of inlet, 900’ off beach, Manasquan, NJ 08742",28,,58,73,50
,,,,Boat,," East of, Highlands, NJ",105.5,3.00 by 3,,,
Plenty To See,23,Sand,,Boat,58," Stack Rocks, West Wales, United Kingdom",95.5,,58,63,52.5
Plenty To See,23,Sand,,Boat,," 7 miles east off, Shark River Inlet, NJ",85.5,3.75 by 8,52.5,,50
,,Clay/Muck,,Boat,," East of, Sandy Hook, NJ",105.5,,,,
Plenty To See,,Clay/Muck,,Boat,," East of, Sandy Hook, NJ",95.5,,,,
Might See Something,,Sand,,Boat,," 18 miles east of, Point Pleasant, NJ",125.5,4.67 by 9,,,
Plenty To See,45.5,Sand,,Shore,73," Destin, FL",45.5,3.33 by 39,73,78,68
Might See Something,7.5,Clay/Muck,3036901286,Shore,68," 5800 S Powhaton Rd, Aurora, CO 80012",45.5,3.09 by 11,63,73,50
Might See Something,,Sand,,Shore,," Below Ferry dock at Fort Hancock, Sandy Hook, NJ",28,,,,
Might See Something,5,Sand,,Shore,68," Bayside, just below Fort Hancock, Sandy Hook, NJ",23,3.00 by 1,58,73,50
Might See Something,5,Sand,7322290924,Shore,68," Seven Presidents Park, North Long Branch, NJ 07740",18,,58,73,50
Might See Something,13,Sand,,Shore,73," 717 Ocean Ave., Long Branch, NJ",28,3.00 by 3,52.5,68,50
Might See Something,,Sand,,Shore,," 600 feet off Jersey Ave beach, Spring Lake, NJ",23,3.50 by 2,,,
Plenty To See,5,Sand,,Shore,68," 400 ft off Princeton Ave, Mantoloking, NJ",18,,58,73,50
Might See Something,,Clay/Muck,9082366355,Shore,," 1220 Lebanon-Stanton Road, Lebanon, NJ 08833-3115",150,2.88 by 8,,,50
Might See Something,,Clay/Muck,,Shore,," about a mile south of, Water Gap, PA",38,2.67 by 3,,73,
Might See Something,7.5,Clay/Muck,,Shore,," Rt. 611, Delaware Water Gap, PA",38,3.00 by 8,,73,50
Might See Something,5,Clay/Muck,,Shore,," Mount Arlington, NJ",150,2.00 by 1,,,50
,,Clay/Muck,,Boat,," in the river off, National Park, NJ",,,,,
Might See Something,75.5,Sand,8504437776,Shore,73," Panama City, Republic Of Panama, Panama",75.5,3.00 by 1,73,78,73
Plenty To See,115.5,Sand,,Boat,, Mexico,55.5,3.00 by 1,,,
Might See Something,28,Clay/Muck,4193529203,Shore,68," 12701 South Dixie, Bowling Green, OH 43402",65.5,3.73 by 44,50,68,50
,,,,Boat,," Grand Cayman, Cayman Islands",,,,,
Big Animals,,Sand,,Boat,," Beaufort, NC",65.5,3.50 by 20,,,
,,Sand,,Boat,," Morehead City, NC",,3.60 by 10,,,
Plenty To See,,Sand,,Boat,, NJ,65.5,3.00 by 1,,,
Big Animals,150,Sand,407,Shore,78," Lake Buena Vista, FL 32830",23,4.61 by 70,78,78,78
Might See Something,,Sand,,Boat,," Sint Maarten, Sint Maarten",33,3.45 by 11,,,
Plenty To See,65.5,Sand,,Boat,," Roatan, Honduras",95.5,4.29 by 7,,,78
Plenty To See,,Sand,,Boat,," Roatan, Honduras",,4.09 by 11,,,
Might See Something,13,Sand,,Shore,68," Located off of High Rock School Roa, Blanch, NC 27408",85.5,3.56 by 9,68,73,58
,18,,,Boat,68," Virginia Beach, VA",65.5,3.57 by 7,58,68,58
Plenty To See,,Sand,,Boat,, VA,115.5,5.00 by 1,,,
Might See Something,,Sand,,Boat,, VA,,,,,
Might See Something,,Sand,,Boat,, VA,115.5,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",85.5,4.00 by 1,,,
Plenty To See,,Sand,,Boat,," Va Beach, VA",65.5,4.00 by 1,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",105.5,4.50 by 2,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",55.5,5.00 by 1,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",55.5,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",105.5,5.00 by 1,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",150,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",85.5,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",55.5,3.00 by 3,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",115.5,,,,
,,,,,," Va Beach, VA",,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",,,,,
,,,,,," Va Beach, VA",,4.50 by 2,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",75.5,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",105.5,,,,
Might See Something,,Sand,,Boat,," Va Beach, VA",135.5,,,,
Plenty To See,23,Rock,6158600000,Shore,58," 650 Quarry Rd, Lebanon, TN 37090",55.5,3.44 by 32,58,83,50
Plenty To See,115.5,Sand,,Boat,73," South of Palancar Beach, Cozumel, Quintana Roo 77600, Mexico",135.5,4.21 by 33,78,83,78
Plenty To See,,,8003420640,Shore,68," 1517 Vortex Spring Ln., Ponce De Leon, FL 32455",,3.83 by 142,68,68,68
,,,8143953242,Shore,," 497 Flanigan Road, Confluence, PA 15424",,3.00 by 2,,,
,,,7246399013,,," 440 Loyalhanna Dam Road, Saltsburg, PA 15681",,3.00 by 1,,,
,,,4122622664,Shore,," SR 956, Volant, PA 16156",,3.25 by 4,,,
Might See Something,28,Sand,,Shore,73," Friedrichshafen, 88046, Germany",150,,63,73,50
,65.5,Sand,,Shore,73," Chassahowitzka National Wildlife Re, Brooksville, FL",150,3.83 by 6,73,73,73
Might See Something,38,Clay/Muck,,Shore,73," 7244 Shoal Line Blvd, Weeki Wachee, FL 34607",145.5,3.00 by 5,73,73,73
Might See Something,75.5,Sand,3523685746,Shore,73," 4040 Southeast 84th Lane Road, Ocala, FL 34480-9769",135.5,4.13 by 47,73,73,73
Plenty To See,23,Sand,1348831526,Boat,52.5," Sessions Hall, Mathry, Pembrokeshire SA62 5HB, United Kingdom",55.5,5.00 by 1,52.5,58,50
Might See Something,95.5,Sand,,Shore,73," 49525 County Road 445, Altoona, FL",23,3.65 by 31,73,73,73
Plenty To See,23,Rock,7242953500,Shore,58," Volant, PA",45.5,4.00 by 8,52.5,73,50
Plenty To See,,Rock,,Shore,," Williamsburg, PA 16693",,3.25 by 4,,,
,,,3042656144,,," Grafton, WV 26354",,3.20 by 5,,,
Might See Something,18,Rock,,Boat,73," Route 93, Bismarck, Mount Storm, WV 26739",135.5,3.24 by 21,73,73,73
Plenty To See,18,Clay/Muck,18003600865,Shore,63," 1182 Island Rd, Circleville, OH 43113",18,3.45 by 42,63,83,50
Might See Something,7.5,Sand,,Shore,78," 30.395236,-97.909278, Austin, TX",150,3.37 by 27,78,83,68
Plenty To See,95.5,Sand,,Shore,," Bali, Indonesia",150,4.10 by 10,,,
Plenty To See,85.5,Sand,,Boat,83," Sosua, Dominican Republic",38,3.57 by 14,78,83,78
Plenty To See,65.5,Sand,,Boat,83," Sosua, Dominican Republic",75.5,4.00 by 8,78,83,73
Plenty To See,150,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",55.5,4.00 by 2,,,
Might See Something,55.5,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",45.5,3.50 by 2,,,
Big Animals,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,4.00 by 1,,,
Big Animals,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,4.00 by 2,,,
Big Animals,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,4.00 by 2,,,
Plenty To See,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,3.50 by 2,,,
Might See Something,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,3.33 by 3,,,
Might See Something,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,3.50 by 2,,,
Plenty To See,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,4.50 by 2,,,
Plenty To See,,Sand,,Boat,," Fernando de Noronha, Pernambuco, Brazil",,4.00 by 1,,,
Plenty To See,38,Sand,,Boat,78," Olongapo, Zambales, Philippines",125.5,4.11 by 9,78,78,78
Plenty To See,,,,Boat,," Boracay, Philippines",,3.91 by 11,,,
Plenty To See,55.5,Sand,,Boat,68, FL,95.5,3.60 by 5,68,73,63
Plenty To See,55.5,Sand,,Boat,68," Fort Walton, FL",95.5,4.00 by 2,68,73,63
Plenty To See,145.5,Clay/Muck,,Boat,," Townsville / Airlie Beach, Queensland, Australia",95.5,4.56 by 9,,,
Plenty To See,,Sand,,Boat,," South West Rocks, New South Wales, Australia",,4.00 by 4,,,
Plenty To See,28,Sand,,Boat,50," Gloucester, MA",95.5,3.88 by 17,50,50,50
Plenty To See,23,Rock,,Boat,50," Gloucester, MA",135.5,4.33 by 3,50,50,50
Plenty To See,85.5,Sand,,Boat,78," Key Largo, FL",125.5,4.27 by 26,78,83,78
Might See Something,7.5,Rock,,Shore,68," Red Granite, WI",150,3.43 by 7,52.5,78,50
Might See Something,13,Clay/Muck,4176732724,Shore,," 302 MM Hwy / PO Box E, Oronogo, MO 64855",150,3.00 by 6,,,
Plenty To See,75.5,Sand,,Boat,73, FL,45.5,3.73 by 15,73,83,68
Plenty To See,38,Sand,,Boat,78," Nago, Okinawa, Japan",145.5,4.83 by 6,73,83,68
Plenty To See,65.5,Sand,,Shore,78," Chatan, Okinawa, Japan",85.5,3.83 by 12,73,83,68
Plenty To See,23,Sand,,Boat,63," Camp Pendleton, CA",38,3.50 by 2,58,63,58
,,,,Boat,," Huntingdon County, PA",150,2.75 by 4,,,
Might See Something,23,Clay/Muck,,Shore,52.5," 42°59′1″N, 72°3′43″WCoordinates: 42, Hancock, NH",105.5,3.00 by 4,52.5,68,50
Plenty To See,85.5,Sand,,Boat,," Curaçao, Curaçao",75.5,4.24 by 21,,,
Plenty To See,18,Sand,,Boat,," Pulau Perhentian, Terengganu, Malaysia",65.5,4.00 by 5,,,
,,,,Boat,," Koh Chang, Thailand",,3.00 by 1,,,
Plenty To See,45.5,Sand,,Shore,," Kadena, Okinawa, Japan",65.5,3.73 by 15,,78,
Plenty To See,45.5,Sand,,Shore,," Kadena Seawall, Kadena, Okinawa, Japan",45.5,3.64 by 14,,78,
Plenty To See,45.5,Sand,,Shore,," Sunabe Seawall North, Chatan Cho, Okinawa, Japan",55.5,3.67 by 6,,78,
Plenty To See,65.5,Sand,,Boat,78," ST. Thomas, VI 00802, Virgin Islands (U.S.)",45.5,3.77 by 13,78,78,78
Plenty To See,18,Sand,,Boat,73," 75-5793 kini loop, kailua/kona, HI 96740",85.5,3.67 by 9,73,73,73
Might See Something,7.5,Clay/Muck,1733351288,Shore,," Dive In Ltd, Gildenburgh Water, Whittlesey, Cambridgeshire PE7 2AR, United Kingdom",65.5,3.00 by 3,,,
Plenty To See,45.5,Sand,,Boat,," Nergil, Jamaica",65.5,3.91 by 11,78,,
Plenty To See,13,Rock,,Boat,52.5," Anderson Reef, Abercastle, West Wales, United Kingdom",65.5,4.00 by 1,52.5,58,50
,,,,Shore,," Zeerust/Lichtenburg, North West, South Africa",,4.50 by 2,,,
Plenty To See,,,,Boat,, Mozambique,,4.00 by 2,,,
Plenty To See,,,,Boat,, Mozambique,,3.75 by 4,,,
Plenty To See,,Sand,,Boat,," Sodwana Bay, Kwazulu Natal, South Africa",,4.00 by 5,,,
,,,,Shore,," Mafikeng/Lichtenburg, North West, South Africa",,,,,
Plenty To See,150,Sand,,Boat,," Nassau, Nassau, Bahamas",150,4.40 by 5,,83,
Plenty To See,55.5,Sand,,Boat,," Goulden Key, Bahamas",28,3.67 by 6,,83,
Might See Something,75.5,Sand,8773263357,Shore,58," 7941 Emerald Bay Road, Meeks Bay, CA 94612",150,3.70 by 10,52.5,63,50
Big Animals,75.5,Sand,248385,Boat,83," Beau Vallon, Seychelles",38,4.75 by 4,83,83,83
Plenty To See,150,No Bottom,8509260700,Shore,," state rd 267, Wakulla Springs, FL",150,5.00 by 2,68,68,
Big Animals,85.5,Sand,3527956798,Shore,73," US 19, Crystal River, FL 34428",55.5,4.07 by 82,73,73,73
Plenty To See,65.5,Sand,,Boat,," Blue Adventure Diving, Chania, Greece",65.5,4.33 by 3,,,58
Plenty To See,13,Sand,4014231771,Shore,68," One Fort Wetherill Road, Jamestown, RI 02835",23,3.68 by 37,50,73,50
,,Clay/Muck,,Boat,, NJ,150,5.00 by 1,,,
Plenty To See,95.5,Sand,,Boat,85," Bridgetown, Barbados",105.5,3.85 by 13,85,85,78
Might See Something,33,Clay/Muck,3523687974,Shore,68," 9487 NW 115th Ave, Ocala, FL 34482",150,3.91 by 22,68,68,68
Might See Something,7.5,,,Shore,52.5," 6800 CR8-E, Berthoud, CO 80513",150,3.00 by 3,52.5,58,50
Plenty To See,18,Rock,,Shore,73," Crystal River, FL",18,3.68 by 19,73,73,73
Plenty To See,33,Sand,,Boat,83," fujairah, United Arab Emirates",45.5,4.00 by 7,83,83,83
Might See Something,55.5,Sand,,Boat,68," Aksaz, Turkey",55.5,4.00 by 2,73,73,68
Plenty To See,18,Sand,8306123775,Shore,78," 200 CR 2620, Mico, TX 78056",115.5,3.55 by 11,78,83,73
Might See Something,18,Sand,,Shore,52.5," Town of Grand Lake, Grand Lake, CO",150,3.50 by 2,50,52.5,50
Might See Something,5,Clay/Muck,,Shore,63," Baltimore, MD 21224",55.5,2.00 by 1,63,83,50
Plenty To See,,Sand,,Boat,," Cancun, Mexico",,3.00 by 1,,,
Plenty To See,,Sand,,Boat,," Cancun, Mexico",,3.00 by 1,,,
,,Sand,,Boat,," Cancun, Mexico",,3.93 by 14,,,
,,Sand,,Boat,," Cancun, Mexico",,3.71 by 7,,,
Plenty To See,,Sand,,Boat,," Cancun, Mexico",,3.60 by 5,,,
Plenty To See,,Sand,,Boat,," Cancun, Mexico",,4.20 by 5,,,
,,Sand,,Boat,," Grand Cayman, Cayman Islands",,3.25 by 4,,,
Plenty To See,,Sand,,Boat,," Grand Cayman, Cayman Islands",,4.38 by 13,,,
Plenty To See,,,,Boat,," Grand Cayman, Cayman Islands",,3.80 by 5,,,
Plenty To See,,Sand,,Boat,," Grand Cayman, Cayman Islands",,3.00 by 2,,,
Plenty To See,,,,Shore,," Monterey, CA",,4.22 by 23,,,
,95.5,,,Boat,83," Ambergris Caye, Belize",55.5,4.25 by 16,83,83,83
Plenty To See,7.5,Sand,5018652801,Shore,52.5," 2027 State Park Entrance Road, Bismarck, AR 71929",150,3.67 by 6,52.5,78,58
Might See Something,13,Sand,,Boat,78," Wrightsville Beach, NC",45.5,3.41 by 17,63,78,52.5
Plenty To See,75.5,Sand,,Boat,73," Wrightsville Beach, NC",115.5,3.75 by 8,78,78,52.5
Plenty To See,55.5,Sand,,Boat,73," Wrightsville Beach, NC",105.5,4.20 by 10,68,78,52.5
Plenty To See,95.5,Sand,,Boat,73," Wrightsville Beach, NC",115.5,4.40 by 5,68,78,58
Plenty To See,45.5,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",135.5,3.87 by 15,73,83,63
Plenty To See,18,Sand,,Shore,73," Ocean Avenue, Marshfield, MA",18,3.29 by 7,,68,
Plenty To See,18,Sand,8668600208,Shore,," 161 Brownstone Avenue, Portland, CT 06480",,3.56 by 9,,,
Might See Something,13,Sand,,Shore,58," Lincoln, United Kingdom",23,4.00 by 1,52.5,58,52.5
Might See Something,23,Clay/Muck,,Shore,," Peterborough, Cambridgeshire, United Kingdom",65.5,3.00 by 2,,58,
Plenty To See,23,Sand,,Shore,," Stoney Stanton, Leicestershire, United Kingdom",115.5,3.58 by 12,,63,
Plenty To See,38,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",145.5,,73,83,63
,,,2486939801,,," 604 S. Lapeer Rd., Lake Orion, MI 48362",,3.00 by 1,,,
Plenty To See,38,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",145.5,4.25 by 4,73,83,63
Big Animals,95.5,Sand,,Boat,83," Kerama Islands, Japan",95.5,4.22 by 9,83,85,78
Big Animals,75.5,Rock,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",150,,73,83,63
Plenty To See,18,Rock,,Shore,," Thomas Edison Pkwy, Port Huron, MI",,3.78 by 9,,63,
Big Animals,85.5,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",145.5,4.00 by 6,73,83,63
Plenty To See,65.5,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",145.5,4.00 by 1,73,83,63
Plenty To See,85.5,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México/jalisco 48380, Mexico",125.5,3.56 by 16,73,83,63
Big Animals,115.5,Rock,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México/jalisco 48380, Mexico",145.5,,73,83,63
Big Animals,75.5,Rock,5.23222E+11,Boat,73," Lázaro Cárdenas 230, puerto vallarta, México/jalisco 48380, Mexico",145.5,3.43 by 7,73,83,63
Big Animals,75.5,Sand,5.23222E+11,Boat,73," Lázaro Cárdenas 230, Puerto Vallarta, México 48380, Mexico",135.5,3.40 by 5,73,83,63
Plenty To See,33,Sand,,Shore,78," Kadena, Okinawa, Japan",55.5,3.89 by 9,78,83,68
Might See Something,13,Clay/Muck,4405482716,Shore,68," 11853 state route 282, Nelson, OH 44231",65.5,3.67 by 9,58,78,50
Plenty To See,45.5,Sand,,Shore,73, Japan,55.5,3.67 by 3,73,78,63
Big Animals,85.5,Rock,,Shore,68," Yomitan, Okinawa, Japan",150,4.50 by 14,68,73,63
Plenty To See,55.5,Sand,,Shore,68," Onna, Okinawa, Japan",55.5,3.25 by 4,73,78,68
Plenty To See,95.5,Sand,,Boat,," Keramas, Okinawa, Japan",75.5,4.00 by 1,,,
Plenty To See,85.5,Sand,,Boat,," Zamami, Keramas, Okinawa, Japan",55.5,3.50 by 4,,,
Plenty To See,75.5,Sand,,Boat,," Keramas, Tokashiki, Okinawa, Japan",65.5,4.00 by 2,,,
Plenty To See,115.5,Sand,,Boat,83," Keramas, Kuroshima Minami, Okinawa, Japan",150,4.25 by 4,73,78,73
Plenty To See,75.5,Sand,,Boat,," Keramas, Tokashiki, Okinawa, Japan",85.5,3.00 by 1,,,
Plenty To See,,Sand,,Boat,," Dhigurah Island, South Ari Atoll, Maldives",95.5,4.50 by 2,,,
Plenty To See,,Sand,,Boat,," Ariyadhoo Island, South Ari Atoll, Maldives",95.5,4.00 by 1,,,
Plenty To See,150,Sand,,Boat,," Machchafushi Island, South Ari Atoll, Maldives",105.5,3.50 by 2,,,
Might See Something,,Sand,,Shore,," Nalaguraidhoo/Sun Island, South Ari Atoll, Maldives",65.5,4.00 by 2,,,
Plenty To See,,Sand,,Boat,," Hurghada, Red Sea/hurghada, Egypt",95.5,4.00 by 3,,,
Might See Something,,Sand,,Boat,," Hurghada, Red Sea/hurghada, Egypt",95.5,3.50 by 2,,,
Plenty To See,,Sand,,Boat,," Hurghada, Red Sea/hurghada, Egypt",95.5,3.33 by 3,,,
Might See Something,13,Clay/Muck,,Shore,, United Kingdom,23,2.00 by 1,,,
Big Animals,18,Sand,,Shore,78," Diego Garcia, British Indian Ocean Territory",33,,78,78,78
Plenty To See,,Sand,,Shore,," Sicily, Italy",,4.50 by 2,,,
Plenty To See,13,Rock,,Shore,73," Hinman Island Drive, New Braunfels, TX 78130",13,3.57 by 67,73,73,73
Might See Something,150,Clay/Muck,,Shore,," Just east of Great Egg Harbor River, Berryland or Williamstown, NJ 08094",7.5,4.00 by 1,,73,50
Plenty To See,55.5,Sand,,Boat,," Marathon, FL",115.5,4.13 by 15,,,68
Plenty To See,38,Sand,,Boat,," Islamorada, FL",105.5,4.36 by 28,,,78
Plenty To See,28,Sand,,Boat,78," Key West, FL",85.5,4.00 by 19,73,83,68
Plenty To See,45.5,Sand,,Boat,78," Key West, FL",65.5,4.00 by 16,73,83,73
Big Animals,55.5,Sand,,Boat,, CA,115.5,4.25 by 4,,68,
